zip,city,od_calls,pct_of_calls
20707,SILVER SPRING,1,0.15174506828528073
20814,BETHESDA,8,1.2139605462822458
20814,CHEVY CHASE,2,0.30349013657056145
20815,BETHESDA,1,0.15174506828528073
20815,CHEVY CHASE,5,0.7587253414264037
20816,BETHESDA,4,0.6069802731411229
20817,BETHESDA,18,2.731411229135053
20832,OLNEY,2,0.30349013657056145
20833,BROOKEVILLE,1,0.15174506828528073
20837,POOLESVILLE,2,0.30349013657056145
20841,BOYDS,3,0.4552352048558422
20850,POTOMAC,1,0.15174506828528073
20850,ROCKVILLE,42,6.373292867981791
20851,ROCKVILLE,6,0.9104704097116844
20852,GERMANTOWN,1,0.15174506828528073
20852,ROCKVILLE,54,8.19423368740516
20852,SILVER SPRING,1,0.15174506828528073
20853,ROCKVILLE,20,3.0349013657056148
20854,BETHESDA,1,0.15174506828528073
20854,POTOMAC,7,1.062215477996965
20855,DERWOOD,8,1.2139605462822458
20855,GERMANTOWN,1,0.15174506828528073
20855,ROCKVILLE,3,0.4552352048558422
20860,SANDY SPRING,2,0.30349013657056145
20861,ASHTON,1,0.15174506828528073
20866,BURTONSVILLE,4,0.6069802731411229
20866,SILVER SPRING,1,0.15174506828528073
20871,CLARKSBURG,13,1.9726858877086493
20871,DAMASCUS,1,0.15174506828528073
20872,DAMASCUS,8,1.2139605462822458
20874,CLARKSBURG,1,0.15174506828528073
20874,GAITHERSBURG,1,0.15174506828528073
20874,GERMANTOWN,58,8.801213960546281
20874,ROCKVILLE,2,0.30349013657056145
20876,DAMASCUS,2,0.30349013657056145
20876,GERMANTOWN,19,2.8831562974203337
20876,ROCKVILLE,1,0.15174506828528073
20877,GAITHERSBURG,47,7.132018209408194
20877,MONTGOMERY VILLAGE,2,0.30349013657056145
20877,SILVER SPRING,1,0.15174506828528073
20878,GAITHERSBURG,42,6.373292867981791
20878,OLNEY,1,0.15174506828528073
20879,GAITHERSBURG,20,3.0349013657056148
20882,DAMASCUS,1,0.15174506828528073
20882,GAITHERSBURG,7,1.062215477996965
20886,GAITHERSBURG,1,0.15174506828528073
20886,MONTGOMERY VILLAGE,24,3.6418816388467374
20889,BETHESDA,1,0.15174506828528073
20895,KENSINGTON,13,1.9726858877086493
20895,SILVER SPRING,1,0.15174506828528073
20901,GERMANTOWN,1,0.15174506828528073
20901,SILVER SPRING,18,2.731411229135053
20902,ROCKVILLE,1,0.15174506828528073
20902,SILVER SPRING,39,5.918057663125948
20903,SILVER SPRING,6,0.9104704097116844
20904,SILVER SPRING,40,6.0698027314112295
20905,SILVER SPRING,4,0.6069802731411229
20906,ROCKVILLE,1,0.15174506828528073
20906,SILVER SPRING,50,7.587253414264036
20910,SILVER SPRING,31,4.704097116843703
21794,GERMANTOWN,1,0.15174506828528073
